sku,name,configurable_variations
BB_CREAM,BB CREAM,"sku=C-BBCD,bb_cream_color=Dark|sku=C-BBCT,bb_cream_color=Tan|sku=C-BBCM,bb_cream_color=Med|sku=C-BBCL,bb_cream_color=Light"
blush_compact_color,Blush - Compact,"sku=C-B6022C,blush_compact_color=Blush - Compact - Autumn M|sku=C-B6043C,blush_compact_color=Blush - Compact - Blossom M|sku=C-B6027C,blush_compact_color=Blush - Compact - Burgandy Flame S|sku=C-B6074C,blush_compact_color=Blush - Compact - Burgandy Wine M|sku=C-B6039C,blush_compact_color=Blush - Compact - Caarmel Bliss S|sku=C-B6073C,blush_compact_color=Blush - Compact - Champagne Hilighter|sku=C-B6041C,blush_compact_color=Blush - Compact - Cinnamon Toast M|sku=C-B6001C,blush_compact_color=Blush - Compact - Contour M|sku=C-B6038C,blush_compact_color=Blush - Compact - Coral Kiss S|sku=C-B6020C,blush_compact_color=Blush - Compact - Coral M|sku=C-B6013C,blush_compact_color=Blush - Compact - Coral Silk M|sku=C-B6007C,blush_compact_color=Blush - Compact - Creamy Peach M|sku=C-B6030C,blush_compact_color=Blush - Compact - Dark Pink M|sku=C-B6032C,blush_compact_color=Blush - Compact - Deep Mario M|sku=C-B6006C,blush_compact_color=Blush - Compact - Desert Brown M|sku=C-B6042C,blush_compact_color=Blush - Compact - Dusty Rose M|sku=C-B6054C,blush_compact_color=Blush - Compact - Earth M|sku=C-B6024C,blush_compact_color=Blush - Compact - Fantastic Rose M|sku=C-B6011C,blush_compact_color=Blush - Compact - Golden Brown M|sku=C-B6012C,blush_compact_color=Blush - Compact - Hint of Color S|sku=C-B6049C,blush_compact_color=Blush - Compact - Ice Tea M|sku=C-B6031C,blush_compact_color=Blush - Compact - Magical Magenta M|sku=C-B6045C,blush_compact_color=Blush - Compact - Magical Pink M|sku=C-B6033C,blush_compact_color=Blush - Compact - Mauve M|sku=C-B6021C,blush_compact_color=Blush - Compact - Melon S|sku=C-B6037C,blush_compact_color=Blush - Compact - Mocha M|sku=C-B6058C,blush_compact_color=Blush - Compact - Nudeness M|sku=C-B6002C,blush_compact_color=Blush - Compact - Off White Madness M|sku=C-B6034C,blush_compact_color=Blush - Compact - Parfait Purple M|sku=C-B6009C,blush_compact_color=Blush - Compact - Passion Peach M|sku=C-B6015C,blush_compact_color=Blush - Compact - Peach M|sku=C-B6016C,blush_compact_color=Blush - Compact - Peachy Keen S|sku=C-B6055C,blush_compact_color=Blush - Compact - Peachy Penny M|sku=C-B6072C,blush_compact_color=Blush - Compact - Pinky Rose M|sku=C-B6008C,blush_compact_color=Blush - Compact - Pleasantly Fresh M|sku=C-B6028C,blush_compact_color=Blush - Compact - Powder Pink M|sku=C-B6035C,blush_compact_color=Blush - Compact - Radical Violet M|sku=C-B6053C,blush_compact_color=Blush - Compact - Rose Petal M|sku=C-B6026C,blush_compact_color=Blush - Compact - Rosey M|sku=C-B6050C,blush_compact_color=Blush - Compact - Rouge Rose M|sku=C-B6010C,blush_compact_color=Blush - Compact - Sandy Pearl M|sku=C-B6047C,blush_compact_color=Blush - Compact - Sex On the Beach M|sku=C-B6025C,blush_compact_color=Blush - Compact - Shimmering Pink G|sku=C-B6044C,blush_compact_color=Blush - Compact - Sizzled Red M|sku=C-B6014C,blush_compact_color=Blush - Compact - Sunset S|sku=C-B6019C,blush_compact_color=Blush - Compact - Sweet Kiss M|sku=C-B6040C,blush_compact_color=Blush - Compact - Touch of Spice M|sku=C-B6017C,blush_compact_color=Blush - Compact - Utopia Orange S|sku=C-B6051C,blush_compact_color=Blush - Compact - Warm Earth M|sku=C-B6046C,blush_compact_color=Blush - Compact - Warm Rose M|sku=C-B6000C,blush_compact_color=Blush - Compact Soft Contour M"
blush_refill_color,Blush - Refill,"sku=C-B6010R,blush_refill_color=Blush - Refill - Sandy Pearl M|sku=C-B6028R,blush_refill_color=Blush - Refill - Powder Pink M|sku=C-B6046R,blush_refill_color=Blush - Refill - Warm Rose M|sku=C-B6015R,blush_refill_color=Blush - Refill - Peach M|sku=C-B6034R,blush_refill_color=Blush - Refill - Parfait Purple M|sku=C-B6053R,blush_refill_color=Blush - Refill - Rose Petal M|sku=C-B6001R,blush_refill_color=Blush - Refill - Contour M|sku=C-B6021R,blush_refill_color=Blush - Refill - Melon S|sku=C-B6040R,blush_refill_color=Blush - Refill - Touch of Spice M|sku=C-B6073R,blush_refill_color=Blush - Refill - Champagne Hilighter|sku=C-B6009R,blush_refill_color=Blush - Refill - Passion Peach M|sku=C-B6027R,blush_refill_color=Blush - Refill - Burgandy Flame S|sku=C-B6045R,blush_refill_color=Blush - Refill - Magical Pink M|sku=C-B6014R,blush_refill_color=Blush - Refill - Sunset S|sku=C-B6033R,blush_refill_color=Blush - Refill - Mauve M|sku=C-B6051R,blush_refill_color=Blush - Refill - Warm Earth M|sku=C-B6000R,blush_refill_color=Blush - Refill Soft Contour M|sku=C-B6020R,blush_refill_color=Blush - Refill - Coral M|sku=C-B6039R,blush_refill_color=Blush - Refill - Caarmel Bliss S|sku=C-B6072R,blush_refill_color=Blush - Refill - Pinky Rose M|sku=C-B6008R,blush_refill_color=Blush - Refill - Pleasantly Fresh M|sku=C-B6026R,blush_refill_color=Blush - Refill - Rosey M|sku=C-B6044R,blush_refill_color=Blush - Refill - Sizzled Red M|sku=C-B6013R,blush_refill_color=Blush - Refill - Coral Silk M|sku=C-B6032R,blush_refill_color=Blush - Refill - Deep Mario M|sku=C-B6050R,blush_refill_color=Blush - Refill - Rouge Rose M|sku=C-B6019R,blush_refill_color=Blush - Refill - Sweet Kiss M|sku=C-B6038R,blush_refill_color=Blush - Refill - Coral Kiss S|sku=C-B6058R,blush_refill_color=Blush - Refill - Nudeness M|sku=C-B6007R,blush_refill_color=Blush - Refill - Creamy Peach M|sku=C-B6025R,blush_refill_color=Blush - Refill - Shimmering Pink G|sku=C-B6043R,blush_refill_color=Blush - Refill - Blossom M|sku=C-B6012R,blush_refill_color=Blush - Refill - Hint of Color S|sku=C-B6031R,blush_refill_color=Blush - Refill - Magical Magenta M|sku=C-B6049R,blush_refill_color=Blush - Refill - Ice Tea M|sku=C-B6017R,blush_refill_color=Blush - Refill - Utopia Orange S|sku=C-B6037R,blush_refill_color=Blush - Refill - Mocha M|sku=C-B6055R,blush_refill_color=Blush - Refill - Peachy Penny M|sku=C-B6006R,blush_refill_color=Blush - Refill - Desert Brown M|sku=C-B6024R,blush_refill_color=Blush - Refill - Fantastic Rose M|sku=C-B6042R,blush_refill_color=Blush - Refill - Dusty Rose M|sku=C-B6011R,blush_refill_color=Blush - Refill - Golden Brown M|sku=C-B6030R,blush_refill_color=Blush - Refill - Dark Pink M|sku=C-B6047R,blush_refill_color=Blush - Refill - Sex On the Beach M|sku=C-B6016R,blush_refill_color=Blush - Refill - Peachy Keen S|sku=C-B6035R,blush_refill_color=Blush - Refill - Radical Violet M|sku=C-B6054R,blush_refill_color=Blush - Refill - Earth M|sku=C-B6002R,blush_refill_color=Blush - Refill - Off White Madness M|sku=C-B6022R,blush_refill_color=Blush - Refill - Autumn M|sku=C-B6041R,blush_refill_color=Blush - Refill - Cinnamon Toast M|sku=C-B6074R,blush_refill_color=Blush - Refill - Burgandy Wine M"
Brow-Pencil,Brow Pencil,"sku=C-EB102,brow_pencil=EB102 Brow Pencil Blonde|sku=C-EB109,brow_pencil=EB109 Brow Pencil Dark|sku=C-EB110,brow_pencil=EB110 Brow Pencil Grey"
browfix_color,Brow Fix,"sku=C-BFBR,browfix_color=Brow Fixx Brown|sku=C-BFB,browfix_color=Brow Fixx Black|sku=C-BFAIO,browfix_color=Brow Fixx All in One|sku=C-BF50S,browfix_color=Brow Fixx 50 Shades|sku=C-BFM,browfix_color=Brow Fix Midnight Sky|sku=C-BFDC,browfix_color=Brow Fixx Dark Chocolate"
browfix_color-1,DEMO PRODUCT,"sku=C-BF50S,browfix_color=Brow Fixx 50 Shades|sku=C-BFM,browfix_color=Brow Fix Midnight Sky|sku=C-BFDC,browfix_color=Brow Fixx Dark Chocolate|sku=C-BFBR,browfix_color=Brow Fixx Brown|sku=C-BFB,browfix_color=Brow Fixx Black|sku=C-BFAIO,browfix_color=Brow Fixx All in One"
browfix_color-1-1,DEMO PRODUCT 2,"sku=C-BF50S,browfix_color=Brow Fixx 50 Shades|sku=C-BFM,browfix_color=Brow Fix Midnight Sky|sku=C-BFDC,browfix_color=Brow Fixx Dark Chocolate|sku=C-BFBR,browfix_color=Brow Fixx Brown|sku=C-BFB,browfix_color=Brow Fixx Black|sku=C-BFAIO,browfix_color=Brow Fixx All in One"
compact_bronzer_color,Compact Bronzer,"sku=C-B191C,compact_bronzer_color=Compact - B191 PPowder Bronzer 191|sku=C-DBLC,compact_bronzer_color=Compact - Duo Bronzer Light Half Moon|sku=C-DBDC,compact_bronzer_color=Compact - Duo Bronzer Dark Half Moon|sku=C-B20C,compact_bronzer_color=Compact - B20 PPowder Bronzer 20|sku=C-B194C,compact_bronzer_color=Compact - Bronzer 194 - 10g|sku=C-B193C,compact_bronzer_color=Compact - B193 PPowder Bronzer 193"
con_stick,Con Stick,"sku=C-CS301,constick_color=Con Stick Light Porcelain|sku=C-CS354,constick_color=Con Stick Tan|sku=C-CS306,constick_color=Con Stick Ebony|sku=C-CS311,constick_color=Con Stick Medium Light Porcelain|sku=C-CS300,constick_color=Con Stick Extra Light Porcelain|sku=C-CS353,constick_color=Con Stick Medium Tan|sku=C-CS305,constick_color=Con Stick Mocha|sku=C-CSL,constick_color=Con Stick Lilac|sku=C-CS310,constick_color=Con Stick Congac|sku=C-CS352,constick_color=Con Stick Medium Ivory|sku=C-CS304,constick_color=Con Stick Dark Tan|sku=C-CS357,constick_color=Con Stick Honey Chestnut|sku=C-CS309,constick_color=Con Stick Amber|sku=C-CS351,constick_color=Con Stick Ivory|sku=C-CS303,constick_color=Con Stick Medium Beige|sku=C-CS356,constick_color=Con Stick Golden Honey|sku=C-CS308,constick_color=Con Stick Coffee Bean|sku=C-CS350,constick_color=Con Stick Light Ivory|sku=C-CS302,constick_color=Corrector Stick Porcelain|sku=C-CS355,constick_color=Con Stick Almond|sku=C-CS307,constick_color=Con Stick Caramel|sku=C-CS312,constick_color=Con Stick Medium Porcelian"
concealer_pot,Concealer Pot,"sku=C-CP711,concealer_pot=C711 Medium Light Porcelain|sku=C-CP700,concealer_pot=C700 Extra Light Porcelain|sku=C-CP753,concealer_pot=C753 Medium Tan|sku=C-CP705,concealer_pot=C705 Mocha|sku=C-CP710,concealer_pot=C710 Cognac|sku=C-CP752,concealer_pot=C752 Medium Ivory|sku=C-CP704,concealer_pot=C704 Dark Tan|sku=C-CP757,concealer_pot=C757 Honey Chesnut|sku=C-CP709,concealer_pot=C709 Amber|sku=C-CP751,concealer_pot=C751 Ivory|sku=C-CP703,concealer_pot=C703 Medium Beige|sku=C-CP756,concealer_pot=C756 Golden Honey|sku=C-CP708,concealer_pot=C708 Coffee Bean|sku=C-CP750,concealer_pot=C750 Light Ivory|sku=C-CP702,concealer_pot=C702 Porcelain|sku=C-CP755,concealer_pot=C755 Almond|sku=C-CP707,concealer_pot=C707 Caramel|sku=C-CP712,concealer_pot=C712 Medium Porcelain|sku=C-CP701,concealer_pot=C701 Light Porcelain|sku=C-CP754,concealer_pot=C754 Tan|sku=C-CP706,concealer_pot=C706 Ebony"
