sku,configurable_variations
compact_bronzer_color,"sku=C-B191C,compact_bronzer_color=Compact - B191 PPowder Bronzer 191|sku=C-DBLC,compact_bronzer_color=Compact - Duo Bronzer Light Half Moon|sku=C-DBDC,compact_bronzer_color=Compact - Duo Bronzer Dark Half Moon|sku=C-B20C,compact_bronzer_color=Compact - B20 PPowder Bronzer 20|sku=C-B194C,compact_bronzer_color=Compact - Bronzer 194 - 10g|sku=C-B193C,compact_bronzer_color=Compact - B193 PPowder Bronzer 193"
refil_bronzer_color,"sku=C-B191R,refill_bronzer_color=Refil - B191 PPowder Bronzer 191|sku=C-DBLR,refill_bronzer_color=Refill - Duo Bronzer Light Half Moon|sku=C-DBDR,refill_bronzer_color=Refill - Duo Bronzer Dark Half Moon|sku=C-B20R,refill_bronzer_color=Refill - B20 PPowder Bronzer 20|sku=C-B194R,refill_bronzer_color=Refill - Bronzer 194 - 10g|sku=C-B193R,refill_bronzer_color=Refill - B193 PPowder Bronzer 193"
